LINE,PRODUCT,Length,QTY,GAUGE,KSI,COAT,Length (FT),Weight (LB),PRICE,EXTENDED (USD)
1,37506,0',,32DRY,33,GV,"35,289.00","3,183.42",176.00 MLF,"6,210.86"
2,264033,0',,20EQ,50,G40EQ,"67,703.00","26,756.90",293.00 MLF,"19,836.98"
3,261033,0',,20EQ,70,G40EQ,"235,430.00","99,271.41",295.00 MLF,"69,451.85"
4,76033,0',,20DRY,33,G40,"29,362.00","25,471.83",810.00 MLF,"23,783.22"
5,264063,0',,20EQ,50,G40EQ,"5,022.00","2,738.15",398.00 MLF,"1,998.76"
6,261063,0',,20EQ,70,G40EQ,"37,786.00","22,016.01",400.00 MLF,"15,114.40"
7,76063,0',,20DRY,33,G40,"5,022.00","5,571.76","1,030.00 MLF","5,172.66"
8,264013,0',,20EQ,50,G40EQ,"8,801.00","2,342.47",198.00 MLF,"1,742.60"
9,261013,0',,20EQ,70,G40EQ,"61,150.00","17,542.10",200.00 MLF,"12,230.00"
10,266013,0',,20EQ,50,G40EQ,"8,801.00","3,176.10",260.00 MLF,"2,288.26"
11,43253,0',,2033D,33,G40,"25,890.00","21,361.84",675.00 MLF,"17,475.75"
12,94132,0',,2033D,33,G40,"12,943.00","8,524.65",540.00 MLF,"6,989.22"
13,50063,0',,20DRY,33,G40EQ,"19,195.00","12,046.40",430.00 MLF,"8,253.85"
14,37506,0',,32DRY,33,GV,"19,742.00","1,780.93",176.00 MLF,"3,474.59"
15,75035,0',,18STR,33,CP-60,402,522.49,"1,172.00 MLF",471.14
16,80035,0',,18STR,33,CP-60,499,467.07,625.00 MLF,311.88
17,15035,0',,18STR,33,CP-60,"6,416.00","7,231.15",760.00 MLF,"4,876.16"
18,80065,0',,18STR,33,CP-60,"2,116.00","2,748.62",870.00 MLF,"1,840.92"
19,15065,0',,18STR,33,CP-60,"22,306.00","33,235.72","1,010.00 MLF","22,529.06"
20,30026,0',,16STR,33,G40EQ,20,8.32,295.00 MLF,5.9
21,80065,0',,18STR,33,CP-60,358,465.03,870.00 MLF,311.46
22,15065,0',,18STR,33,CP-60,"2,559.00","3,812.88","1,010.00 MLF","2,584.59"
23,43063,0',,2033D,33,G40,"2,667.00","3,281.50","1,000.00 MLF","2,667.00"
24,94134,0',,2033D,33,G40,"1,106.00","1,176.73",850.00 MLF,940.1
25,75065,0',,18STR,33,CP-60,"1,419.00","2,359.34","1,492.00 MLF","2,117.15"